,tweet_id,favorite_count,retweet_count,created_at,source,url,jpg_url,img_num,prediction,prediction_confidence,tweet_id,timestamp,source,text,expanded_urls,rating_numerator,rating_denominator,name,doggo,floofer,pupper,puppo,dog
0,892420643555336193,34635.0,7217.0,Tue Aug 01 16:23:56 +0000 2017,Twitter for iPhone,https://t.co/MgUWQ76dJU,https://pbs.twimg.com/media/CT4udn0WwAA0aMy.jpg,1.0,Welsh_springer_spaniel,0.465074,8.924206435553362e+17,2017-08-01 16:23:56 +0000,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",This is Phineas. He's a mystical boy. Only ever appears in the hole of a donut. 13/10 https://t.co/MgUWQ76dJU,https://twitter.com/dog_rates/status/892420643555336193/photo/1,13.0,10.0,Phineas,None,None,None,None,None
1,892177421306343426,30008.0,5413.0,Tue Aug 01 00:17:27 +0000 2017,Twitter for iPhone,https://t.co/aQFSeaCu9L,https://pbs.twimg.com/media/CT42GRgUYAA5iDo.jpg,1.0,redbone,0.506826,8.921774213063434e+17,2017-08-01 00:17:27 +0000,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","This is Tilly. She's just checking pup on you. Hopes you're doing ok. If not, she's available for pats, snugs, boops, the whole bit. 13/10 https://t.co/0Xxu71qeIV",https://twitter.com/dog_rates/status/892177421306343426/photo/1,13.0,10.0,Tilly,None,None,None,None,None
2,891815181378084864,22593.0,3576.0,Mon Jul 31 00:18:03 +0000 2017,Twitter for iPhone,https://t.co/r0YlrsGCgy,https://pbs.twimg.com/media/CT4521TWwAEvMyu.jpg,1.0,German_shepherd,0.596461,8.918151813780849e+17,2017-07-31 00:18:03 +0000,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",This is Archie. He is a rare Norwegian Pouncing Corgo. Lives in the tall grass. You never know when one may strike. 12/10 https://t.co/wUnZnhtVJB,https://twitter.com/dog_rates/status/891815181378084864/photo/1,12.0,10.0,Archie,None,None,None,None,None
3,891689557279858688,37891.0,7438.0,Sun Jul 30 15:58:51 +0000 2017,Twitter for iPhone,https://t.co/tD36da7qLQ,https://pbs.twimg.com/media/CT5Dr8HUEAA-lEu.jpg,1.0,Rhodesian_ridgeback,0.408143,8.916895572798587e+17,2017-07-30 15:58:51 +0000,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",This is Darla. She commenced a snooze mid meal. 13/10 happens to the best of us https://t.co/tD36da7qLQ,https://twitter.com/dog_rates/status/891689557279858688/photo/1,13.0,10.0,Darla,None,None,None,None,None
4,891327558926688256,36184.0,7981.0,Sat Jul 29 16:00:24 +0000 2017,Twitter for iPhone,https://t.co/0g0KMIVXZ3,https://pbs.twimg.com/media/CT5IQmsXIAAKY4A.jpg,1.0,miniature_pinscher,0.560311,8.913275589266883e+17,2017-07-29 16:00:24 +0000,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","This is Franklin. He would like you to stop calling him ""cute."" He is a very fierce shark and should be respected as such. 12/10 #BarkWeek https://t.co/AtUZn91f7f","https://twitter.com/dog_rates/status/891327558926688256/photo/1,https://twitter.com/dog_rates/status/891327558926688256/photo/1",12.0,10.0,Franklin,None,None,None,None,None
5,891087950875897856,18246.0,2680.0,Sat Jul 29 00:08:17 +0000 2017,Twitter for iPhone,https://t.co/xx5cilW0Dd,https://pbs.twimg.com/media/CT5Jof1WUAEuVxN.jpg,1.0,Bernese_mountain_dog,0.651137,8.910879508758979e+17,2017-07-29 00:08:17 +0000,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Here we have a majestic great white breaching off South Africa's coast. Absolutely h*ckin breathtaking. 13/10 (IG: tucker_marlo) #BarkWeek https://t.co/kQ04fDDRmh,https://twitter.com/dog_rates/status/891087950875897856/photo/1,13.0,10.0,None,None,None,None,None,None
6,890971913173991426,10622.0,1723.0,Fri Jul 28 16:27:12 +0000 2017,Twitter for iPhone,https://t.co/MV01Q820LT,https://pbs.twimg.com/media/CT5KoJ1WoAAJash.jpg,1.0,box_turtle,0.933012,8.909719131739914e+17,2017-07-28 16:27:12 +0000,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Meet Jax. He enjoys ice cream so much he gets nervous around it. 13/10 help Jax enjoy more things by clicking below

https://t.co/Zr4hWfAs1H https://t.co/tVJBRMnhxl","https://gofundme.com/ydvmve-surgery-for-jax,https://twitter.com/dog_rates/status/890971913173991426/photo/1",13.0,10.0,Jax,None,None,None,None,None
7,890729181411237888,58298.0,16251.0,Fri Jul 28 00:22:40 +0000 2017,Twitter for iPhone,https://t.co/hrcFOGi12V,https://pbs.twimg.com/media/CT5N9tpXIAAifs1.jpg,1.0,chow,0.692517,8.907291814112379e+17,2017-07-28 00:22:40 +0000,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",When you watch your owner call another dog a good boy but then they turn back to you and say you're a great boy. 13/10 https://t.co/v0nONBcwxq,"https://twitter.com/dog_rates/status/890729181411237888/photo/1,https://twitter.com/dog_rates/status/890729181411237888/photo/1",13.0,10.0,None,None,None,None,None,None
8,890609185150312448,25123.0,3721.0,Thu Jul 27 16:25:51 +0000 2017,Twitter for iPhone,https://t.co/UkrdQyoYxV,https://pbs.twimg.com/media/CT5PY90WoAAQGLo.jpg,1.0,shopping_cart,0.962465,8.906091851503124e+17,2017-07-27 16:25:51 +0000,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",This is Zoey. She doesn't want to be one of the scary sharks. Just wants to be a snuggly pettable boatpet. 13/10 #BarkWeek https://t.co/9TwLuAGH0b,https://twitter.com/dog_rates/status/890609185150312448/photo/1,13.0,10.0,Zoey,None,None,None,None,None
9,890240255349198849,28635.0,6276.0,Wed Jul 26 15:59:51 +0000 2017,Twitter for iPhone,https://t.co/l3TSS3o2M0,https://pbs.twimg.com/media/CT5Qw94XAAA_2dP.jpg,1.0,miniature_poodle,0.201493,8.902402553491988e+17,2017-07-26 15:59:51 +0000,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",This is Cassie. She is a college pup. Studying international doggo communication and stick theory. 14/10 so elegant much sophisticate https://t.co/t1bfwz5S2A,https://twitter.com/dog_rates/status/890240255349198849/photo/1,14.0,10.0,Cassie,doggo,None,None,None,doggo
